rule_id,category,source_file,symbol_scope,description,trigger_type,inputs,threshold_or_condition,action
R001,bias_gate,Bismillah/app/autotrade_engine.py,altcoins,"Block altcoin signals when BTC bias strength is weak",hard_filter,"btc_bias.strength","< 40","return None for non-BTC symbols"
R002,bias_alignment,Bismillah/app/autotrade_engine.py,altcoins,"Require altcoin trend alignment with BTC bullish/bearish bias",hard_filter,"btc_bias.bias; trend_1h","if bullish then trend_1h must be LONG; if bearish then trend_1h must be SHORT","reject misaligned signal"
R003,confluence_score,Bismillah/app/autotrade_engine.py,all swing symbols,"Confluence scoring combines S/R, RSI extreme, volume spike, ATR regime, MA alignment",score_gate,"price proximity, RSI, volume ratio, ATR%, MA","score >= dynamic min_confidence","emit confluence signal"
R004,confluence_rr,Bismillah/app/autotrade_engine.py,all swing symbols,"Reject weak confluence setups by risk-reward",hard_filter,"entry,tp1,sl","RR >= 1.0","allow confluence signal"
R005,fallback_rr,Bismillah/app/autotrade_engine.py,all swing symbols,"Fallback SMC/hybrid signal enforces minimum RR",hard_filter,"atr-based tp/sl distances","RR >= ENGINE_CONFIG.min_rr_ratio","allow fallback signal"
R006,volatility_floor,Bismillah/app/autotrade_engine.py,all swing symbols,"Reject low-volatility setups",hard_filter,"atr_pct","atr_pct >= ENGINE_CONFIG.min_atr_pct","continue signal evaluation"
R007,volatility_cap,Bismillah/app/autotrade_engine.py,all swing symbols,"Reject excessively volatile setups",hard_filter,"atr_pct","atr_pct <= ENGINE_CONFIG.max_atr_pct","continue signal evaluation"
R008,wick_filter,Bismillah/app/autotrade_engine.py,all swing symbols,"Reject manipulation-like candles with oversized wick",hard_filter,"wick_ratio","wick_ratio <= ENGINE_CONFIG.wick_rejection_max","continue signal evaluation"
R009,queue_priority,Bismillah/app/autotrade_engine.py,all swing symbols,"Signal queue execution priority",ranking,"confidence; rr_ratio","sort descending by confidence then rr_ratio","execute highest-ranked candidate first"
R010,risk_sizing_swing,Bismillah/app/autotrade_engine.py,all swing symbols,"Risk-based quantity by equity and SL distance",sizing,"equity; risk_pct; entry; sl","qty = (equity*risk_pct)/|entry-sl| with precision and margin checks","use qty for order"
R011,swing_price_validity,Bismillah/app/autotrade_engine.py,all swing symbols,"Validate TP/SL side of mark price",hard_filter,"side; sl; tp1; current_mark","LONG: sl<mark and tp1>mark; SHORT mirrored","adjust SL or skip trade"
R012,reversal_gate,Bismillah/app/autotrade_engine.py,open positions only,"Flip existing position only on strong opposite evidence",stateful_gate,"open_side; new signal; cooldown; mode","opposite side + confidence threshold + trend/structure checks + cooldown","close current and open opposite"
R013,sideways_detect,Bismillah/app/sideways_detector.py,scalping symbols,"Classify sideways by voting on ATR, EMA spread, range width",state_classification,"atr_relative_pct; ema_spread_pct; range_width_pct","at least 2 of 3 sideways votes","allow sideways pipeline"
R014,sideways_signal_conf,Bismillah/app/scalping_engine.py,scalping symbols,"Minimum confidence for sideways branch",hard_filter,"confidence",">= 70","emit MicroScalpSignal"
R015,sideways_rr,Bismillah/app/scalping_engine.py,scalping symbols,"Minimum RR for sideways micro-scalp",hard_filter,"entry,tp,sl","RR >= 1.0","allow signal"
R016,trend_scalping_signal,Bismillah/app/autosignal_async.py,scalping symbols,"Trend scalping uses 15m trend + 5m RSI/volume trigger",trigger_logic,"EMA21/EMA50 15m; RSI 5m; volume ratio","branch-specific thresholds (strong/weak/ranging)","emit LONG/SHORT signal"
R017,scalping_validation,Bismillah/app/scalping_engine.py,scalping symbols,"General scalping entry validation",hard_filter,"confidence; rr_ratio; symbol whitelist; atr bounds; circuit breaker","must pass all enabled checks","allow order placement"
R018,anti_flip_streak,Bismillah/app/scalping_engine.py,scalping symbols,"Require consecutive same-direction confirmations",stateful_gate,"signal_streaks; max_gap","count >= required confirmations within max gap","permit execution"
R019,anti_flip_cooldown,Bismillah/app/scalping_engine.py,scalping symbols,"Block immediate opposite-direction re-entry after close",stateful_gate,"last_closed_meta; opposite cooldown","if opposite and cooldown active then block","reject signal"
R020,risk_sizing_scalping,Bismillah/app/scalping_engine.py,scalping symbols,"Scalping risk/leverage caps before sizing",sizing,"risk_per_trade; leverage; balance","risk<=5%; leverage<=10x","compute qty via position_sizing"
R021,min_qty_guard,Bismillah/app/scalping_engine.py,scalping symbols,"Skip trades below exchange minimum quantity",hard_filter,"qty_adjusted; symbol min qty","qty_adjusted >= min_qty","continue execution"
R022,unified_entry_validation,Bismillah/app/trade_execution.py,all unified entries,"Validate TP/SL against mark and classify invalid entry",hard_filter,"side; tp1; sl; mark","same-side invalid -> reject; SL wrong-side -> adjust","place order or return invalid_prices"
R023,reconcile_guard,Bismillah/app/trade_execution.py,all unified entries,"Post-entry reconciliation and self-healing",defensive_gate,"live position qty/tp/sl vs expected","repair TP/SL drift; emergency close on unrecoverable mismatch","return success or reconcile_failed"
R024,stackmentor_target,Bismillah/app/stackmentor.py,registered positions,"Unified StackMentor closes full size at fixed RR target",exit_logic,"entry; sl; target_rr","tp1 qty=100%, target RR=3","close position on TP hit"
R025,max_hold_sideways,Bismillah/app/scalping_engine.py,sideways positions,"Force close sideways positions quickly",time_exit,"opened_at","elapsed > 120 seconds","market close reduce-only"
R026,max_hold_general,Bismillah/app/scalping_engine.py,all scalping positions,"Force close long-held scalping positions",time_exit,"opened_at","elapsed > 1800 seconds","market close reduce-only"
R027,web_signal_window,website-backend/app/routes/signals.py,1-click web,"Allow execution only for fresh announced signals",time_gate,"generated_at","age <= SIGNAL_ENTRY_WINDOW_SECONDS","permit execution"
R028,web_live_rebuild,website-backend/app/routes/signals.py,1-click web,"Rebuild execution signal from live ticker before order",execution_logic,"symbol ticker","always at execute time","compute live entry/tp/sl for sizing"
R029,web_sl_distance_bounds,website-backend/app/routes/signals.py,1-click web,"Reject unusable SL distances",hard_filter,"sl_distance_pct","0.1% <= sl_distance_pct <= 15%","allow qty computation"
R030,web_source_close_guard,website-backend/app/routes/bitunix.py,web positions,"Manual close endpoint restricted to 1-click source positions",hard_filter,"position source annotation","source must equal 1_click","close position via reduce-only order"
